product_category,dt_month,month_order_ct,dt_priormonth,priormonth_order_ct,priormonth_order_ct_diff,priormonth_order_ct_pctchange,alltime_order_ct_pctchange,alltime_order_ct_diff,alltime_pctchange_rank,alltime_diff_rank
health_beauty,2017-09-01 00:00:00.000,454,NULL,NULL,NULL,NULL,88.454061684683,427,16,1
health_beauty,2017-10-01 00:00:00.000,434,2017-09-01 00:00:00.000,454,-20,-4.405286343612,88.454061684683,427,16,1
health_beauty,2017-11-01 00:00:00.000,706,2017-10-01 00:00:00.000,434,272,62.672811059907,88.454061684683,427,16,1
health_beauty,2017-12-01 00:00:00.000,612,2017-11-01 00:00:00.000,706,-94,-13.314447592067,88.454061684683,427,16,1
health_beauty,2018-01-01 00:00:00.000,836,2017-12-01 00:00:00.000,612,224,36.601307189542,88.454061684683,427,16,1
health_beauty,2018-02-01 00:00:00.000,788,2018-01-01 00:00:00.000,836,-48,-5.741626794258,88.454061684683,427,16,1
health_beauty,2018-03-01 00:00:00.000,808,2018-02-01 00:00:00.000,788,20,2.538071065989,88.454061684683,427,16,1
health_beauty,2018-04-01 00:00:00.000,770,2018-03-01 00:00:00.000,808,-38,-4.702970297029,88.454061684683,427,16,1
health_beauty,2018-05-01 00:00:00.000,813,2018-04-01 00:00:00.000,770,43,5.584415584415,88.454061684683,427,16,1
health_beauty,2018-06-01 00:00:00.000,908,2018-05-01 00:00:00.000,813,95,11.685116851168,88.454061684683,427,16,1
health_beauty,2018-07-01 00:00:00.000,831,2018-06-01 00:00:00.000,908,-77,-8.480176211453,88.454061684683,427,16,1
health_beauty,2018-08-01 00:00:00.000,881,2018-07-01 00:00:00.000,831,50,6.016847172081,88.454061684683,427,16,1
housewares,2017-09-01 00:00:00.000,255,NULL,NULL,NULL,NULL,126.068885044292,374,14,2
housewares,2017-10-01 00:00:00.000,235,2017-09-01 00:00:00.000,255,-20,-7.843137254901,126.068885044292,374,14,2
housewares,2017-11-01 00:00:00.000,423,2017-10-01 00:00:00.000,235,188,80.000000000000,126.068885044292,374,14,2
housewares,2017-12-01 00:00:00.000,295,2017-11-01 00:00:00.000,423,-128,-30.260047281323,126.068885044292,374,14,2
housewares,2018-01-01 00:00:00.000,359,2017-12-01 00:00:00.000,295,64,21.694915254237,126.068885044292,374,14,2
housewares,2018-02-01 00:00:00.000,400,2018-01-01 00:00:00.000,359,41,11.420612813370,126.068885044292,374,14,2
housewares,2018-03-01 00:00:00.000,407,2018-02-01 00:00:00.000,400,7,1.750000000000,126.068885044292,374,14,2
housewares,2018-04-01 00:00:00.000,471,2018-03-01 00:00:00.000,407,64,15.724815724815,126.068885044292,374,14,2
housewares,2018-05-01 00:00:00.000,619,2018-04-01 00:00:00.000,471,148,31.422505307855,126.068885044292,374,14,2
housewares,2018-06-01 00:00:00.000,584,2018-05-01 00:00:00.000,619,-35,-5.654281098546,126.068885044292,374,14,2
housewares,2018-07-01 00:00:00.000,577,2018-06-01 00:00:00.000,584,-7,-1.198630136986,126.068885044292,374,14,2
housewares,2018-08-01 00:00:00.000,629,2018-07-01 00:00:00.000,577,52,9.012131715771,126.068885044292,374,14,2
auto,2017-09-01 00:00:00.000,108,NULL,NULL,NULL,NULL,154.560839333849,269,11,3
auto,2017-10-01 00:00:00.000,150,2017-09-01 00:00:00.000,108,42,38.888888888888,154.560839333849,269,11,3
auto,2017-11-01 00:00:00.000,263,2017-10-01 00:00:00.000,150,113,75.333333333333,154.560839333849,269,11,3
auto,2017-12-01 00:00:00.000,268,2017-11-01 00:00:00.000,263,5,1.901140684410,154.560839333849,269,11,3
auto,2018-01-01 00:00:00.000,268,2017-12-01 00:00:00.000,268,0,0.000000000000,154.560839333849,269,11,3
auto,2018-02-01 00:00:00.000,319,2018-01-01 00:00:00.000,268,51,19.029850746268,154.560839333849,269,11,3
auto,2018-03-01 00:00:00.000,344,2018-02-01 00:00:00.000,319,25,7.836990595611,154.560839333849,269,11,3
auto,2018-04-01 00:00:00.000,356,2018-03-01 00:00:00.000,344,12,3.488372093023,154.560839333849,269,11,3
auto,2018-05-01 00:00:00.000,311,2018-04-01 00:00:00.000,356,-45,-12.640449438202,154.560839333849,269,11,3
auto,2018-06-01 00:00:00.000,300,2018-05-01 00:00:00.000,311,-11,-3.536977491961,154.560839333849,269,11,3
auto,2018-07-01 00:00:00.000,344,2018-06-01 00:00:00.000,300,44,14.666666666666,154.560839333849,269,11,3
auto,2018-08-01 00:00:00.000,377,2018-07-01 00:00:00.000,344,33,9.593023255813,154.560839333849,269,11,3
computers_accessories,2017-09-01 00:00:00.000,253,NULL,NULL,NULL,NULL,156.578636897992,166,10,4
computers_accessories,2017-10-01 00:00:00.000,322,2017-09-01 00:00:00.000,253,69,27.272727272727,156.578636897992,166,10,4
computers_accessories,2017-11-01 00:00:00.000,532,2017-10-01 00:00:00.000,322,210,65.217391304347,156.578636897992,166,10,4
computers_accessories,2017-12-01 00:00:00.000,287,2017-11-01 00:00:00.000,532,-245,-46.052631578947,156.578636897992,166,10,4
computers_accessories,2018-01-01 00:00:00.000,707,2017-12-01 00:00:00.000,287,420,146.341463414634,156.578636897992,166,10,4
computers_accessories,2018-02-01 00:00:00.000,981,2018-01-01 00:00:00.000,707,274,38.755304101838,156.578636897992,166,10,4
computers_accessories,2018-03-01 00:00:00.000,758,2018-02-01 00:00:00.000,981,-223,-22.731906218144,156.578636897992,166,10,4
computers_accessories,2018-04-01 00:00:00.000,544,2018-03-01 00:00:00.000,758,-214,-28.232189973614,156.578636897992,166,10,4
computers_accessories,2018-05-01 00:00:00.000,464,2018-04-01 00:00:00.000,544,-80,-14.705882352941,156.578636897992,166,10,4
computers_accessories,2018-06-01 00:00:00.000,408,2018-05-01 00:00:00.000,464,-56,-12.068965517241,156.578636897992,166,10,4
computers_accessories,2018-07-01 00:00:00.000,427,2018-06-01 00:00:00.000,408,19,4.656862745098,156.578636897992,166,10,4
computers_accessories,2018-08-01 00:00:00.000,419,2018-07-01 00:00:00.000,427,-8,-1.873536299765,156.578636897992,166,10,4
construction_tools_construction,2017-09-01 00:00:00.000,11,NULL,NULL,NULL,NULL,400.455337520894,151,1,5
