id,productStyle,age,gender,region,node,stageNum,stageName,timestamp,type
3e078ad0-0118-4da4-8a85-a36b0faecad1,style1,under-30,male,asia,1,1,Order Received,11-01-2017 18:09:43,etype
a7449c2d-8d2a-40ac-90bb-942f90886a08,style1,under-30,male,asia,1,1,Order Received,11-01-2017 18:46:50,etype
de18bdc0-58e6-4f6e-9bc5-1f8d8cc26223,style1,under-30,male,europe,1,1,Order Received,11-01-2017 05:55:44,atype
7a470947-b109-40fb-ac8a-d948c7ed14c6,style1,under-30,male,europe,1,1,Order Received,11-01-2017 22:29:42,ftype
61fddb3b-2700-4b14-bdbb-8813b3eeed49,style1,under-30,male,europe,2,1,Order Received,11-01-2017 05:19:35,ctype
5bcb52fa-3422-43e4-a567-2e6bfe00db37,style1,under-30,female,us,1,1,Order Received,11-01-2017 00:58:56,btype
a4c881d4-7d1d-48dd-9556-76af6f1eeb6c,style1,under-30,female,asia,1,1,Order Received,11-01-2017 00:28:13,etype
eff4d855-2052-45bb-bc9c-a801fc783a68,style1,under-30,female,asia,1,1,Order Received,11-01-2017 06:11:01,dtype
0bb37d89-01eb-4b7a-8a3b-d4f6f12f7cd9,style1,under-30,female,asia,2,1,Order Received,11-01-2017 10:27:13,etype
37fc1600-b805-452a-a961-f7328397a292,style1,under-30,female,europe,1,1,Order Received,11-01-2017 00:28:00,ftype
373feb6a-0573-4eb4-a9bb-37140ce973eb,style1,under-30,female,europe,1,1,Order Received,11-01-2017 19:48:49,etype
986b3c61-0d26-4c05-a9bc-81ea49db3ec1,style1,under-30,female,europe,1,1,Order Received,11-01-2017 23:47:33,ctype
0799f7c9-c3f5-41e1-aff2-040757e916c8,style1,under-30,female,europe,2,1,Order Received,11-01-2017 00:55:19,ftype
73b60b1f-695e-4a48-b2ec-387020a252be,style1,31-to-60,male,us,1,1,Order Received,11-01-2017 20:45:54,btype
786b3b01-bfef-4b83-9888-e2b57015c0b1,style1,31-to-60,male,us,2,1,Order Received,11-01-2017 02:28:13,ftype
604915af-f712-4c3f-b38e-f5388b8b24f8,style1,31-to-60,male,us,2,1,Order Received,11-01-2017 04:19:57,atype
f4fa946b-7709-4333-adba-346450a37552,style1,31-to-60,male,us,2,1,Order Received,11-01-2017 08:54:14,btype
5db87e65-87d5-4552-818a-a2ce0af01841,style1,31-to-60,male,us,2,1,Order Received,11-01-2017 10:50:55,atype
8843d605-19b4-48c4-90ca-3cfe0ac90a01,style1,31-to-60,male,us,2,1,Order Received,11-01-2017 11:26:07,atype
6215583c-0a75-41ad-a8ef-9140b4b3ca29,style1,31-to-60,male,us,2,1,Order Received,11-01-2017 12:02:31,btype
02736779-2397-4229-a8fa-d6870f110d91,style1,31-to-60,male,asia,1,1,Order Received,11-01-2017 06:36:28,dtype
39dd19ba-eab4-447d-a536-f54f0b502277,style1,31-to-60,male,asia,2,1,Order Received,11-01-2017 04:39:47,ctype
12dac5c4-2a3c-490f-a066-33e054b09b29,style1,31-to-60,male,asia,2,1,Order Received,11-01-2017 10:37:06,atype
a86f2261-ab94-4613-ace1-a94fb979117f,style1,31-to-60,male,asia,2,1,Order Received,11-01-2017 12:29:10,etype
23601b04-671c-49c6-8a36-9d4172fb364f,style1,31-to-60,male,asia,2,1,Order Received,11-01-2017 17:58:29,etype
abadeab1-cbd1-417a-8fbd-db2285cd78f7,style1,31-to-60,male,asia,2,1,Order Received,11-01-2017 18:40:45,ftype
39603afa-1a04-408f-a578-4cb0e69e27e4,style1,31-to-60,male,europe,1,1,Order Received,11-01-2017 10:37:57,ctype
666157bc-0362-437c-9328-d2783987089d,style1,31-to-60,male,europe,1,1,Order Received,11-01-2017 17:19:42,ctype
632964a4-a6f9-4e2c-957c-bbbf8c637080,style1,31-to-60,male,europe,1,1,Order Received,11-01-2017 21:48:33,ftype
1f531bf0-e5cc-4652-9557-26f625aaddae,style1,31-to-60,male,europe,2,1,Order Received,11-01-2017 16:38:13,etype
f335aa04-11cb-4c69-b367-43971b233ad5,style1,31-to-60,female,us,2,1,Order Received,11-01-2017 03:12:49,ftype
3f528438-bf9a-42a3-9616-7222bd8c95ab,style1,31-to-60,female,asia,1,1,Order Received,11-01-2017 07:34:03,btype
1927a94f-29d8-48ab-bbc6-7c56d91e78a7,style1,31-to-60,female,europe,1,1,Order Received,11-01-2017 01:41:54,dtype
9371d4ba-53e7-439c-bc18-63eed9381451,style1,over-60,male,us,2,1,Order Received,11-01-2017 09:53:16,etype
0dea583d-67fc-4488-9f92-9679fa1561a6,style1,over-60,male,us,2,1,Order Received,11-01-2017 18:29:56,atype
daa750fc-37f2-47b6-84ea-f155d2ac1d16,style1,over-60,male,asia,1,1,Order Received,11-01-2017 10:14:26,etype
52eda86c-d0f3-47f5-a26b-2b5a63c92343,style1,over-60,male,asia,1,1,Order Received,11-01-2017 23:16:08,atype
8c4bbc9f-2442-467c-a2fa-f9bdbc446d64,style1,over-60,male,asia,2,1,Order Received,11-01-2017 04:19:23,atype
f6bd7b04-34d7-4e26-89e6-ba6fd0e1b6d6,style1,over-60,male,asia,2,1,Order Received,11-01-2017 16:00:25,btype
64cad5ad-b75a-4a9b-848e-ee937cb5dbdb,style1,over-60,male,europe,1,1,Order Received,11-01-2017 00:30:44,dtype
9d46f4b3-64e4-47df-948f-a77beda33cfa,style1,over-60,male,europe,1,1,Order Received,11-01-2017 06:12:43,etype
94b9277a-e22f-4448-8953-20aca613c8e2,style1,over-60,male,europe,1,1,Order Received,11-01-2017 14:01:06,ctype
e68e3530-052d-46cf-95f4-39a80dbb83b3,style1,over-60,male,europe,2,1,Order Received,11-01-2017 17:36:25,ftype
6b4891fd-b2ba-4eba-9804-4fe1dc3874d1,style1,over-60,female,us,2,1,Order Received,11-01-2017 09:09:01,ctype
1f6d4438-d554-4066-acf7-a95ecfe2358d,style1,over-60,female,us,2,1,Order Received,11-01-2017 12:52:09,dtype
b933c336-f216-416c-8abe-7a43df488c3f,style1,over-60,female,us,2,1,Order Received,11-01-2017 15:24:10,ctype
03a4f80b-4495-4c99-93cd-0ecc1873277e,style1,over-60,female,asia,1,1,Order Received,11-01-2017 05:15:21,etype
2b513a77-cea0-4d2a-a0d5-5555cecf7ecf,style1,over-60,female,asia,1,1,Order Received,11-01-2017 10:42:59,dtype
8a709372-820b-4fd1-b690-5fbd51c8bccb,style1,over-60,female,asia,1,1,Order Received,11-01-2017 18:39:46,btype
240111f7-7833-4a1b-95d7-ec62a8853302,style1,over-60,female,asia,2,1,Order Received,11-01-2017 01:56:31,ctype
d9ab6d1e-7f2b-4207-9629-412afe254b8d,style1,over-60,female,asia,2,1,Order Received,11-01-2017 03:53:38,btype
4bc52f16-38d8-4c37-8a64-f8ac639eea10,style1,over-60,female,europe,1,1,Order Received,11-01-2017 02:01:49,etype
a56191f7-f8bd-48b6-a6a0-681e785f9285,style1,over-60,female,europe,2,1,Order Received,11-01-2017 04:30:18,btype
9ea67af9-cbaa-47a9-aeed-7fcdf3e37761,style2,under-30,male,us,1,1,Order Received,11-01-2017 11:35:23,dtype
098ce368-63f0-4edd-aa1c-f35219f340f6,style2,under-30,male,us,2,1,Order Received,11-01-2017 00:42:44,btype
