stageNum,timestamp,id
2,2018-10-27T18:31:43.013776,372fab52-5cb3-4e1a-837c-f050980c55db
2,2018-10-27T18:31:44.167126,4ae350ec-cf03-491a-bc77-4dd73f92ce0a
2,2018-10-27T18:31:45.579751,e5d73a83-5241-42a7-a1e4-18c85d29d002
2,2018-10-27T18:31:47.579523,6fa1b08b-43cc-437f-b1e6-a7de9d233f50
2,2018-10-27T18:31:49.411660,f059718a-bfc2-4366-be79-2a190336bd57
2,2018-10-27T18:31:50.931327,bf519f03-db08-444c-b78a-34321a65c171
2,2018-10-27T18:31:52.871339,d96df487-b81c-4d80-98f4-0f35f3ebd8c1
2,2018-10-27T18:31:54.334246,c106ac26-d368-4acd-842a-2354f9dbe865
2,2018-10-27T18:31:55.574983,6422389e-d6bd-4517-9e8c-7cb4a39849f9
2,2018-10-27T18:31:56.895061,0e95e237-6449-48e0-abd8-f5bcc61ff724
2,2018-10-27T18:31:58.817787,8bb162f9-2bee-4122-b48d-9c85f00e2f54
2,2018-10-27T18:32:00.144902,79ed78df-8fce-46e5-8921-168538c00b0a
2,2018-10-27T18:32:01.741437,8ed81f0f-ea83-4efc-942b-ee0e471cc0cd
2,2018-10-27T18:32:03.195159,ec3e87f7-c9a9-4ded-9765-3426aa2c9080
2,2018-10-27T18:32:04.386492,6889460b-4183-40d5-a677-bc4ec3fa3c5c
2,2018-10-27T18:32:05.443977,48d5e86f-b8d1-4ffd-892e-f8e14d767e68
2,2018-10-27T18:32:07.160482,8d82b1fd-44b5-45b0-a5de-3d89067c811b
2,2018-10-27T18:32:08.955749,cc60483b-e6cb-47a6-8804-1540ef17df09
2,2018-10-27T18:32:10.680500,f6098ae0-3fd4-4b59-bfd4-cc4c12ede872
2,2018-10-27T18:32:12.386583,075c1d7b-8d51-4559-88db-f6ac175aac77
2,2018-10-27T18:32:13.769002,3d8ba10f-3cd4-4c38-82b6-8971d2d93e42
2,2018-10-27T18:32:14.807785,3c807782-3da2-463f-b73b-c32978069fe0
2,2018-10-27T18:32:15.966462,477b4e58-6a63-4aa3-abf7-67544ab9999b
2,2018-10-27T18:32:17.728215,7e2005df-6766-4b10-9d3e-c7710e79f5bc
