stageNum,timestamp,type,id
3,2018-10-31T19:36:15.212894,etype,c0120270-5029-4dbc-bfdf-1330c06482ed
3,2018-10-31T19:36:18.212894,ftype,71caaa1c-11ce-4d34-97ad-e0cc3f4292bb
3,2018-10-31T19:36:21.212894,etype,83298172-c340-4569-840f-15172226318a
3,2018-10-31T19:36:24.212894,ctype,bdedcc72-f18d-4ea7-81be-5fd335ab521b
3,2018-10-31T19:36:27.212894,btype,4e62cccb-30f1-4776-8a9c-cf5970cb9d9e
3,2018-10-31T19:36:30.212894,dtype,4e76d246-52ea-4866-a928-c733fa1649d8
3,2018-10-31T19:36:33.212894,ctype,e5534950-1e3b-4f7f-8d4c-d3bac8e5875b
3,2018-10-31T19:36:36.212894,atype,c6d36450-d951-4ab6-92bd-42c8b61e1d4c
3,2018-10-31T19:36:39.212894,ftype,f337ba32-dbf4-4234-8a18-cf51625cae4f
3,2018-10-31T19:36:42.212894,ftype,fcc4539f-a009-47c8-84ee-a1660ca99b72
3,2018-10-31T19:36:45.212894,dtype,4fbfae31-36dd-4f66-a2cf-81a6780e574f
3,2018-10-31T19:36:48.212894,etype,af4daa91-0399-4e29-8d9d-a33cf41bd893
3,2018-10-31T19:36:51.212894,ftype,bc4dbf28-bfab-497e-8052-679a61e26f15
3,2018-10-31T19:36:54.212894,dtype,1970e771-d9d4-44c5-82e9-d671efd0a912
3,2018-10-31T19:36:57.212894,ftype,0fbe4db2-3f8e-4431-bab1-b30299f1752f
3,2018-10-31T19:37:00.212894,etype,dac76f62-9f31-410b-beac-c3f42083a057
3,2018-10-31T19:37:03.212894,btype,5731231c-9323-4bd4-add1-a2c3950dc967
3,2018-10-31T19:37:06.212894,btype,ed3c3cc9-5d38-41de-b3e5-d5a9e1da53ce
3,2018-10-31T19:37:09.212894,btype,6ae6f6f9-103b-4617-b0c1-bdd060def34c
3,2018-10-31T19:37:12.212894,ctype,e2367bcf-b449-4c10-8a14-638561ed2f2d
3,2018-10-31T19:37:15.212894,btype,81431e3a-1f0e-407f-970a-d317e9698eb3
3,2018-10-31T19:37:18.212894,ctype,0d5c23c4-f261-411b-aadb-e566e976881e
3,2018-10-31T19:37:21.212894,ctype,d3af0a33-665a-4148-8431-d9103ebefdf3
3,2018-10-31T19:37:24.212894,ftype,f088db40-e0af-450c-b8ad-e76457e105a2
3,2018-10-31T19:37:27.212894,ftype,bf65d141-93a4-4aee-8a2f-f333d111a912
3,2018-10-31T19:37:30.212894,etype,64ada7b7-4c94-49d2-9e6c-7a1bce9ae690
3,2018-10-31T19:37:33.212894,ctype,ad206413-74bd-416d-a31f-ca61da28e2cc
3,2018-10-31T19:37:36.212894,ftype,70b66e2d-480c-4940-bc5d-8bd7377f22ef
3,2018-10-31T19:37:39.212894,etype,8879f855-fc23-4588-a537-174435ff9509
3,2018-10-31T19:37:42.212894,ftype,9f7dc9d3-4b5f-420d-890b-05bb4530bde0
3,2018-10-31T19:37:45.212894,btype,21d5c1ed-2bb6-41bc-86a0-48bca41e70b9
3,2018-10-31T19:37:48.212894,etype,09225a27-fc02-40c7-ad31-3dc9502daf2d
3,2018-10-31T19:37:51.212894,dtype,a02d4647-117a-4a6a-9c8c-890f5bfa9e07
3,2018-10-31T19:37:54.212894,ctype,2ef9362f-c232-4387-947b-928e2f76e698
3,2018-10-31T19:37:57.212894,ftype,2ae5efc9-34b2-4d5b-afb8-e7682899550d
3,2018-10-31T19:38:00.212894,etype,5537cddb-bf35-46d2-9489-3f0517d57a93
3,2018-10-31T19:38:03.212894,dtype,0d6deeae-5062-4b7c-a62e-880a16f967e6
3,2018-10-31T19:38:06.212894,btype,7d9a2b27-e4cc-46a4-b671-7069cb653c3d
